,Apple Inc.,Redfin Corp,"Amazon.com, Inc.",Netflix Inc,,,,,,,,
,1,1,1,1,1,1,1,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,1.004273785,1.111981567,1.000885509,1.000023288,,,,,,,,
,1.009007824,1.220276498,1.013330767,1.000046576,,,,,,,,
,0.989940167,1.431336406,1.006785697,1.000069864,,,,,,,,
,0.9829706095,1.253456221,0.9817989316,1.000093152,,,,,,,,
,0.9779078177,1.19078341,0.9507483517,1.000163016,,,,,,,,
,0.9865868893,1.164516129,0.9588430627,1.000186304,,,,,,,,
,1.033204024,1.176036866,0.9585543096,1.000209592,,,,,,,,
,1.022881189,1.213364055,0.9499205929,1.000232879,,,,,,,,
,1.028272733,1.17235023,0.9505558497,1.000256167,,,,,,,,
,1.044184365,1.14516129,0.9550700226,1.000326031,,,,,,,,
,1.052534683,1.150230415,0.9527311228,1.000349319,,,,,,,,
,1.058978237,1.317511521,0.9451946677,1.000372607,,,,,,,,
,1.021237425,1.252995392,0.9210452861,1.000395895,,,,,,,,
,1.035439542,1.224884793,0.9317002743,1.000419183,,,,,,,,
,1.051022421,1.230414747,0.9464363059,1.000489047,,,,,,,,
,1.062528766,1.270046083,0.9458973002,1.000512335,,,,,,,,
,1.058254981,1.164516129,0.9415082535,1.000535623,,,,,,,,
,1.037938063,1.186635945,0.9245584484,1.000558911,,,,,,,,
,1.035571043,1.188479263,0.922537177,1.000582199,,,,,,,,
,1.033664278,1.147004608,0.917551374,1.000652063,,,,,,,,
,1.050562167,1.144239631,0.9306511382,1.00067535,,,,,,,,
,1.051877178,1.1,0.9220847972,1.000698638,,,,,,,,
,1.047208889,1.061751152,0.9167428654,1.000721926,,,,,,,,
,1.051088171,1.02718894,0.9098224169,1.000745214,,,,,,,,
,1.061674009,1.087557604,0.9105539246,1.000815078,,,,,,,,
,1.071142087,1.151612903,0.9182925069,1.000838366,,,,,,,,
,1.074035111,1.191705069,0.9313152702,,,,,,,,,
,1.078308896,1.168663594,0.9438375283,,,,,,,,,
,1.078637649,1.110599078,0.9415756292,,,,,,,,,
,1.065684792,1.189861751,0.9290822465,,,,,,,,,
,1.064567033,1.170967742,0.9315173974,,,,,,,,,
,1.060293247,1.239170507,0.9427498917,,,,,,,,,
,1.043000855,1.231336406,0.9296886279,,,,,,,,,
,1.06187126,1.222580645,0.9412965013,,,,,,,,,
,1.057663226,1.240552995,0.9457432985,,,,,,,,,
,1.04970741,1.224884793,0.9621252226,,,,,,,,,
,1.040699586,1.257142857,0.955012272,,,,,,,,,
,1.051219673,1.209677419,0.9497954666,,,,,,,,,
,1.043263857,1.288940092,0.9376678377,,,,,,,,,
,1.04365836,1.199078341,0.9335001684,,,,,,,,,
,1.026168716,1.161751152,0.9367245777,,,,,,,,,
,1.008547571,1.163133641,0.9284854902,,,,,,,,,
,0.9986849892,1.171428571,0.9192935175,,,,,,,,,
,0.9898744165,1.156221198,0.9045574859,,,,,,,,,
,1.006903807,1.15437788,0.9034120988,,,,,,,,,
,1.014070616,1.148387097,0.9152220992,,,,,,,,,
,1.007824315,1.148387097,0.9205447808,,,,,,,,,
,1.01334736,1.152073733,0.9253092064,,,,,,,,,
,1.011309093,1.152073733,0.9232301843,,,,,,,,,
,1.01571438,1.213364055,0.9212185379,,,,,,,,,
,1.009139325,1.167281106,0.9292554983,,,,,,,,,
,1.021697679,1.167281106,0.9440781558,,,,,,,,,
,1.021105924,1.18202765,0.9524808701,,,,,,,,,
,1.024656453,1.199539171,0.9538380095,,,,,,,,,
,1.025050957,1.187096774,0.9501900958,,,,,,,,,
,1.029324742,1.243778802,0.9576976755,,,,,,,,,
,1.025708462,1.201843318,0.9634053612,,,,,,,,,
,1.032217766,1.183410138,0.9653400067,,,,,,,,,
,1.051219673,1.16359447,0.9686125415,,,,,,,,,
,1.055098955,1.121658986,0.971297945,,,,,,,,,
,1.050430666,1.110138249,0.959622696,,,,,,,,,
,1.025576961,1.078341014,0.9496222147,,,,,,,,,
,1.027352226,1.064976959,0.9460609269,,,,,,,,,
